record_type,topic,metric,source_family_or_local_id,value,unit,value_2,unit_2,context,interpretation
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,79531,-0.15001090560797303,cm depth_projection,117.053,keV initial neutron energy,entry=side_wall; theta=122.19194535624105; phi=227.41267496329; first_hit=csi_active::CsI_Side_Segment_07; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,118972,,cm depth_projection,0.555,keV initial neutron energy,entry=envelope_miss; theta=73.25124663603061; phi=8.459563009049056; first_hit=other::DR_MXC_Sinter_HEX_AgProxy; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,158363,15.515837332026258,cm depth_projection,23.704,keV initial neutron energy,entry=top; theta=93.18605360377003; phi=197.65821427932235; first_hit=outer_mechanics::MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,164833,15.69667501341383,cm depth_projection,0.056,keV initial neutron energy,entry=bottom; theta=34.73151750169648; phi=265.04447500134813; first_hit=window_or_side_port::Still_Shield_Al_side_window_bottom_cap; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,180531,0.8499888914248769,cm depth_projection,0.0,keV initial neutron energy,entry=side_wall; theta=70.98890478369107; phi=342.7573450288039; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,251935,1.591896033593167,cm depth_projection,27.819,keV initial neutron energy,entry=bottom; theta=27.44572460175091; phi=272.2262118619291; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,399655,-9.636198222001366e-05,cm depth_projection,1.168,keV initial neutron energy,entry=side_wall; theta=85.47877604619771; phi=210.9386907481106; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_BottomCap_5mm; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,634987,,cm depth_projection,1.031,keV initial neutron energy,entry=envelope_miss; theta=88.26330086952977; phi=122.24706565185517; first_hit=other::NbTi_Bundle_Still_4K; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,107826,2.175739549806713,cm depth_projection,26.445,keV initial neutron energy,entry=side_wall; theta=79.44027242584282; phi=104.61219869718907; first_hit=csi_active::CsI_Bottom_Quadrant_02; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,243793,9.232357593175486,cm depth_projection,12.063,keV initial neutron energy,entry=top; theta=131.82374384621053; phi=187.39931446115122; first_hit=csi_active::CsI_Side_Segment_03_above_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,252059,3.776620553894105,cm depth_projection,27.357,keV initial neutron energy,entry=bottom; theta=24.354358592059025; phi=31.856241452223262; first_hit=other::Passive_W_Bottom_Plate_detector_bay; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,329030,20.597123850309792,cm depth_projection,0.525,keV initial neutron energy,entry=top; theta=108.81865361611032; phi=237.51574796442316; first_hit=window_or_side_port::Shield_60K_Al_side_window_side_wall_above_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,361381,9.881001128443334,cm depth_projection,15.082,keV initial neutron energy,entry=bottom; theta=43.17502546396819; phi=127.05009431383442; first_hit=csi_active::CsI_Side_Segment_06; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,602847,4.208950823780141,cm depth_projection,0.015,keV initial neutron energy,entry=side_wall; theta=78.06961578343555; phi=275.54458723840514; first_hit=passive_shield_or_collimator::ActiveShield_Flex_Kapton_detector_bay_below_side_port; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,668801,13.488603850472414,cm depth_projection,0.021,keV initial neutron energy,entry=side_wall; theta=115.23156689627821; phi=125.55181952402098; first_hit=csi_active::CsI_Bottom_Quadrant_03; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,missing coordinate,928441,,cm depth_projection,0.0,keV initial neutron energy,entry=envelope_miss; theta=89.21278314619052; phi=319.6134149452179; first_hit=outer_mechanics::Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,137864,5.039722288166296,cm depth_projection,51.949,keV initial neutron energy,entry=side_wall; theta=48.17061110956641; phi=69.79929905924571; first_hit=csi_active::CsI_Side_Segment_05; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,357387,9.097844993043287,cm depth_projection,0.001,keV initial neutron energy,entry=top; theta=105.29566988971007; phi=187.76533244593165; first_hit=other::ColdPlate_CP_100mK_intercept; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,370386,5.968591174004377,cm depth_projection,4.173,keV initial neutron energy,entry=top; theta=113.77425789452232; phi=164.75723790232018; first_hit=csi_active::CsI_TopAnnulus_Segment_04; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,585146,-4.669764330863082e-06,cm depth_projection,0.0,keV initial neutron energy,entry=side_wall; theta=54.27229738993553; phi=121.66801828807532; first_hit=geoopt_plastic_active::GeoOpt_S1_PlasticFullWrap_SideShell_5mm; plotted=False,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,745296,7.727327696540695,cm depth_projection,1.076,keV initial neutron energy,entry=side_wall; theta=81.4014238897099; phi=230.15498274505666; first_hit=csi_active::CsI_Side_Segment_00; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,748880,40.711426063553894,cm depth_projection,6.622,keV initial neutron energy,entry=side_wall; theta=76.95455294467665; phi=188.61574886296893; first_hit=other::ColdPlate_MXC_50mK_SD_anchor; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,final pass,821539,12.365415633860794,cm depth_projection,0.547,keV initial neutron energy,entry=top; theta=115.289835021981; phi=158.2891200000182; first_hit=other::ColdPlate_CP_100mK_intercept; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
w2_neutron_depth_event,neutron_energy_depth_proxy,active veto reject,887540,4.9601281977974985,cm depth_projection,10.936,keV initial neutron energy,entry=side_wall; theta=75.16043157087718; phi=274.99385165706485; first_hit=csi_active::CsI_Bottom_Quadrant_01; plotted=True,first-hit depth proxy event row; not continuous Geant4 energy-loss-vs-depth scoring
